"prov_code","muni_code","censo","votantes","validos","blancos","nulos","siglas","votos"
1,"1014",385,281,274,6,7,"AMAIUR",31
1,"1023",290,236,235,1,1,"AMAIUR",35
20,"20041",279,153,151,5,2,"AMAIUR",85
31,"31248",318,190,187,2,3,"AMAIUR",43
48,"48074",3384,2441,2397,20,44,"AMAIUR",817
31,"31103",51,40,40,3,0,"AMAIUR",6
48,"48004",329,240,239,2,1,"AMAIUR",115
31,"31134",195,134,132,3,2,"AMAIUR",29
48,"48030",626,487,483,0,4,"AMAIUR",245
31,"31083",50,37,37,0,0,"AMAIUR",13
31,"31009",717,510,497,14,13,"AMAIUR",97
31,"31204",45,35,34,0,1,"AMAIUR",4
20,"20042",3354,2131,2117,18,14,"AMAIUR",1080
31,"31177",264,162,158,3,4,"AMAIUR",18
1,"1004",1427,1021,996,15,25,"AMAIUR",261
31,"31117",670,471,467,3,4,"AMAIUR",400
48,"48083",7021,4722,4656,74,66,"AMAIUR",756
31,"31121",79,53,52,2,1,"AMAIUR",7
31,"31107",1706,1321,1311,17,10,"AMAIUR",11
48,"48035",379,304,301,0,3,"AMAIUR",108
31,"31172",375,295,288,11,7,"AMAIUR",30
31,"31138",939,648,646,14,2,"AMAIUR",329
48,"48024",1026,845,841,3,4,"AMAIUR",376
20,"20907",136,94,94,0,0,"AMAIUR",69
31,"31054",498,310,308,1,2,"AMAIUR",153
31,"31124",209,139,138,1,1,"AMAIUR",19
31,"31003",131,101,101,1,0,"AMAIUR",33
31,"31234",148,107,105,6,2,"AMAIUR",8
31,"31037",94,68,68,0,0,"AMAIUR",38
31,"31017",358,220,219,12,1,"AMAIUR",64
31,"31261",271,202,201,4,1,"AMAIUR",18
48,"48047",161,126,126,1,0,"AMAIUR",91
31,"31044",276,224,223,0,1,"AMAIUR",119
31,"31085",451,334,327,3,7,"AMAIUR",137
48,"48054",23712,16643,16439,215,204,"AMAIUR",2411
48,"48045",5060,3912,3849,31,63,"AMAIUR",942
31,"31005",312,209,206,4,3,"AMAIUR",26
20,"20081",7346,4957,4925,35,32,"AMAIUR",1981
31,"31176",2777,1999,1955,57,44,"AMAIUR",43
1,"1031",1229,916,899,13,17,"AMAIUR",111
31,"31069",860,660,647,2,13,"AMAIUR",87
31,"31035",60,47,47,0,0,"AMAIUR",2
31,"31096",127,112,110,2,2,"AMAIUR",22
31,"31149",2381,1626,1607,7,19,"AMAIUR",1047
48,"48044",63869,47453,47085,511,368,"AMAIUR",7085
48,"48067",1204,895,892,4,3,"AMAIUR",422
31,"31219",93,75,73,1,2,"AMAIUR",2
1,"1049",147,115,115,1,0,"AMAIUR",30
31,"31142",1443,906,899,16,7,"AMAIUR",136
1,"1021",473,332,324,3,8,"AMAIUR",45
20,"20058",770,549,547,3,2,"AMAIUR",193
31,"31100",298,193,193,2,0,"AMAIUR",31
31,"31110",97,53,53,3,0,"AMAIUR",4
48,"48057",5934,4407,4385,27,22,"AMAIUR",2419
31,"31023",5338,3986,3920,120,66,"AMAIUR",366
31,"31194",308,212,210,6,2,"AMAIUR",60
31,"31063",96,77,75,0,2,"AMAIUR",15
20,"20054",476,350,348,1,2,"AMAIUR",282
20,"20071",14488,9499,9419,93,80,"AMAIUR",4052
48,"48028",767,623,621,1,2,"AMAIUR",331
20,"20006",277,177,175,6,2,"AMAIUR",112
48,"48043",4256,3066,3040,33,26,"AMAIUR",790
1,"1019",155,124,124,0,0,"AMAIUR",15
20,"20007",300,203,202,2,1,"AMAIUR",146
48,"48002",7971,5377,5290,65,87,"AMAIUR",1018
31,"31199",161,103,103,1,0,"AMAIUR",30
31,"31047",283,208,204,3,4,"AMAIUR",32
48,"48014",1211,838,834,4,4,"AMAIUR",234
48,"48017",13554,9303,9234,64,69,"AMAIUR",3436
48,"48021",1460,1024,1012,13,12,"AMAIUR",373
31,"31227",8257,5987,5884,125,103,"AMAIUR",1358
