"muni_code","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15"
4082,0,0,0,0,0,0,0,0
4083,1,1,0,0,1,1,0,0
4084,0,1,1,0,0,1,1,0
4085,0,1,1,0,0,1,1,0
4086,0,0,0,0,0,0,0,0
4087,0,0,0,0,0,0,0,0
4088,1,1,0,0,1,1,0,0
4089,0,0,0,0,0,0,0,0
4090,1,1,0,0,1,1,0,0
4091,1,1,0,0,1,1,0,0
4092,0,0,0,0,0,0,0,0
4093,0,0,0,1,0,0,0,1
4094,0,0,0,0,0,0,0,0
4095,0,0,0,0,0,0,0,0
4096,1,0,0,0,1,0,0,0
4097,1,1,0,0,1,1,0,0
4098,1,0,0,0,1,0,0,0
4099,1,0,0,0,1,0,0,0
4100,1,0,0,0,0,0,0,0
4101,1,1,0,0,1,1,0,0
4102,1,1,0,0,1,1,0,0
4103,1,1,0,0,1,1,0,0
4901,1,1,0,0,1,1,0,0
4902,0,0,0,0,0,0,0,0
4903,0,0,0,0,0,0,0,0
5001,1,1,0,0,1,1,0,0
5002,1,1,0,0,1,1,0,0
5005,0,0,0,0,0,0,0,0
5007,0,0,0,0,0,0,0,0
5008,1,1,0,0,1,1,0,0
5010,0,0,0,0,0,0,0,0
5012,1,1,0,0,1,1,0,0
5013,0,0,0,0,0,0,0,0
5014,0,0,0,0,0,0,0,0
5015,0,1,1,0,0,1,1,0
5016,0,0,0,0,0,0,0,0
5017,0,0,0,0,0,0,0,0
5018,0,0,0,0,0,0,0,0
5019,0,0,0,0,0,0,0,0
5021,1,1,0,0,1,1,0,0
5022,0,0,0,0,0,0,0,0
5023,0,0,0,0,0,0,0,0
5024,0,0,0,0,0,0,0,0
5025,0,0,0,0,0,0,0,0
5026,0,0,0,0,0,0,0,0
5027,0,0,0,0,0,0,0,0
5029,0,0,0,0,0,0,0,0
5030,0,0,0,0,0,0,0,0
5033,0,0,0,0,0,0,0,0
5034,0,0,0,0,0,0,0,0
5035,0,0,0,0,0,0,0,0
5036,0,0,0,0,0,0,0,0
5037,0,0,0,0,0,0,0,0
5038,0,1,1,0,0,1,1,0
5039,0,1,1,0,0,1,1,0
5040,0,0,0,0,0,0,0,0
5041,0,0,0,0,0,0,0,0
5042,0,0,0,0,0,0,0,0
5043,1,1,0,0,1,1,0,0
5044,0,0,0,0,0,0,0,0
5045,1,0,0,0,1,0,0,0
5046,0,0,0,0,0,0,0,0
5047,1,1,0,0,1,1,0,0
5048,0,0,0,0,0,0,0,0
5049,0,1,1,0,0,1,1,0
5051,0,0,0,0,0,0,0,0
5052,0,0,0,0,0,0,0,0
5053,0,0,0,0,0,0,0,0
5054,1,1,0,0,1,1,0,0
5055,0,0,0,0,0,0,0,0
5056,1,0,0,0,1,0,0,0
5057,1,1,0,0,1,1,0,0
5058,0,0,0,0,0,0,0,0
5059,0,0,0,0,0,0,0,0
5060,0,0,0,0,0,0,0,0
5061,1,1,0,0,1,1,0,0
5062,0,0,0,0,0,0,0,0
5063,0,0,0,0,0,0,0,0
5064,0,0,0,0,0,0,0,0
5065,0,0,0,0,0,0,0,0
5066,0,0,0,0,0,0,0,0
5067,0,0,0,0,0,0,0,0
5069,0,0,0,0,0,0,0,0
5070,1,1,0,0,1,1,0,0
5072,0,0,0,0,0,0,0,0
5073,0,0,0,0,0,0,0,0
5074,1,0,0,0,1,0,0,0
5075,0,0,0,0,0,0,0,0
5076,0,0,0,0,0,0,0,0
5077,0,0,0,0,0,0,0,0
5078,0,0,0,0,0,0,0,0
5079,0,0,0,0,0,0,0,0
5080,0,0,0,0,0,0,0,0
5081,0,0,0,0,0,0,0,0
5082,0,0,0,0,0,0,0,0
5083,0,0,0,0,0,0,0,0
5084,0,1,1,0,0,1,1,0
5085,0,0,0,0,0,0,0,0
5086,0,0,0,0,0,0,0,0
5087,0,0,0,0,0,0,0,0
5088,0,0,0,0,0,0,0,0
5089,0,0,0,0,0,0,0,0
5090,0,0,0,0,0,0,0,0
5092,1,0,0,0,1,0,0,0
5093,0,1,1,0,0,1,1,0
5094,0,0,0,0,0,0,0,0
5095,0,0,0,0,0,0,0,0
5096,1,1,0,0,1,1,0,0
5097,1,0,0,0,1,0,0,0
5099,1,0,0,0,1,0,0,0
5100,0,1,1,0,0,1,1,0
5101,1,0,0,0,1,0,0,0
5102,0,0,0,0,0,0,0,0
5103,0,0,0,0,0,0,0,0
5104,0,0,0,0,0,0,0,0
5105,0,1,1,0,0,1,1,0
5106,0,0,0,0,0,0,0,0
5107,0,0,0,0,0,0,0,0
5108,0,0,0,0,0,0,0,0
5109,0,0,0,0,0,0,0,0
5110,0,0,0,0,0,0,0,0
5112,0,0,0,0,0,0,0,0
5113,0,0,0,0,0,0,0,0
5114,1,1,0,0,1,1,0,0
5115,0,0,0,0,0,0,0,0
5116,0,0,0,0,0,0,0,0
5117,0,0,0,0,0,0,0,0
5118,0,0,0,0,0,0,0,0
5119,0,0,0,0,0,0,0,0
5120,0,0,0,0,0,0,0,0
5121,0,0,0,0,0,0,0,0
5122,0,0,0,0,0,0,0,0
5123,0,0,0,0,0,0,0,0
5124,0,0,0,0,0,0,0,0
5125,0,0,0,0,0,0,0,0
5126,0,0,0,0,0,0,0,0
5127,1,1,0,0,1,1,0,0
5128,0,0,0,0,0,0,0,0
5129,0,0,0,0,0,0,0,0
5130,0,0,0,0,0,0,0,0
5131,0,0,0,0,0,0,0,0
5132,0,0,0,0,0,0,0,0
5133,0,0,0,0,0,0,0,0
5134,0,0,0,0,0,0,0,0
5135,0,0,0,0,0,0,0,0
5136,0,0,0,0,0,0,0,0
5138,0,0,0,0,0,0,0,0
5139,0,0,0,0,0,0,0,0
5140,0,0,0,0,0,0,0,0
5141,1,0,0,0,1,0,0,0
5142,0,0,0,0,0,0,0,0
5143,0,0,0,0,0,0,0,0
5144,0,0,0,0,0,0,0,0
5145,0,0,0,0,0,0,0,0
5147,0,0,0,0,0,0,0,0
5148,0,1,1,0,0,1,1,0
5149,0,0,0,0,0,0,0,0
5151,0,0,0,0,0,0,0,0
5152,0,0,0,0,0,0,0,0
5153,0,0,0,0,0,0,0,0
5154,0,0,0,0,0,0,0,0
5155,1,1,0,0,1,1,0,0
5156,0,0,0,0,0,0,0,0
5157,1,1,0,0,1,1,0,0
5158,0,0,0,0,0,0,0,0
5159,0,0,0,0,0,0,0,0
5160,0,0,0,0,0,0,0,0
5161,0,0,0,0,0,0,0,0
5162,0,0,0,0,0,0,0,0
5163,0,0,0,0,0,0,0,0
5164,0,0,0,0,0,0,0,0
5165,0,0,0,0,0,0,0,0
5166,0,0,0,0,0,0,0,0
5167,1,1,0,0,1,1,0,0
5168,0,0,0,0,0,0,0,0
5169,0,0,0,0,0,0,0,0
5170,0,1,1,0,0,1,1,0
5171,0,0,0,0,0,0,0,0
5172,0,0,0,0,0,0,0,0
5173,0,0,0,0,0,0,0,0
5174,0,0,0,0,0,0,0,0
5175,0,0,0,0,0,0,0,0
5176,0,0,0,0,0,0,0,0
5177,1,1,0,0,1,1,0,0
5178,0,0,0,0,0,0,0,0
5179,0,0,0,0,0,0,0,0
5180,0,0,0,0,0,0,0,0
5181,0,0,0,0,0,0,0,0
5182,0,0,0,0,0,0,0,0
5183,0,0,0,0,0,0,0,0
5184,0,0,0,0,0,0,0,0
5185,0,0,0,0,0,0,0,0
5186,0,0,0,0,0,0,0,0
5187,0,0,0,0,0,0,0,0
5188,0,0,0,0,0,0,0,0
5189,0,0,0,0,0,0,0,0
5190,0,0,0,0,0,0,0,0
5191,1,1,0,0,1,1,0,0
5192,0,0,0,0,0,0,0,0
5193,0,0,0,0,0,0,0,0
5194,0,0,0,0,0,0,0,0
5195,0,0,0,0,0,0,0,0
5196,1,1,0,0,1,1,0,0
5197,0,0,0,0,0,0,0,0
5198,0,1,1,0,0,1,1,0
5199,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0
5201,0,1,1,0,0,1,1,0
5204,0,0,0,0,0,0,0,0
5205,1,0,0,0,1,0,0,0
5206,0,0,0,0,0,0,0,0
5207,1,1,0,0,1,1,0,0
5208,0,0,0,0,0,0,0,0
5209,1,1,0,0,1,1,0,0
5210,0,0,0,0,0,0,0,0
