"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PSOE2019_04","VOX2019_04","part2019_04","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","VOX2015_12","part2015_12","PSOE2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PP_share"
9243,"burgos","Padilla de Arriba",4.49980967033027,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,1,3,0.0111111111111111,0.0333333333333333,0.272727272727273,0.127272727272727,0.780821917808219,0.263157894736842,0,0.776315789473684,0.185185185185185,0,0.746666666666667,0.15625,0.758620689655172,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.801749271137031,"2019_04",29.0909090909091
9243,"burgos","Padilla de Arriba",4.49980967033027,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,1,3,0.0111111111111111,0.0333333333333333,0.272727272727273,0.127272727272727,0.780821917808219,0.263157894736842,0,0.776315789473684,0.185185185185185,0,0.746666666666667,0.15625,0.758620689655172,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.801749271137031,"2016_06",45.6140350877193
9243,"burgos","Padilla de Arriba",4.49980967033027,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,1,3,0.0111111111111111,0.0333333333333333,0.272727272727273,0.127272727272727,0.780821917808219,0.263157894736842,0,0.776315789473684,0.185185185185185,0,0.746666666666667,0.15625,0.758620689655172,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.801749271137031,"2015_12",48.1481481481481
9243,"burgos","Padilla de Arriba",4.49980967033027,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,1,3,0.0111111111111111,0.0333333333333333,0.272727272727273,0.127272727272727,0.780821917808219,0.263157894736842,0,0.776315789473684,0.185185185185185,0,0.746666666666667,0.15625,0.758620689655172,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.801749271137031,"2011_11",56.25
9247,"burgos","Palacios de Riopisuerga",3.49650756146648,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,7,4,0.212121212121212,0.121212121212121,0.166666666666667,0.111111111111111,0.818181818181818,0.0476190476190476,0,0.875,0.0526315789473684,0,0.826086956521739,0.05,0.75,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,"2019_04",61.1111111111111
9247,"burgos","Palacios de Riopisuerga",3.49650756146648,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,7,4,0.212121212121212,0.121212121212121,0.166666666666667,0.111111111111111,0.818181818181818,0.0476190476190476,0,0.875,0.0526315789473684,0,0.826086956521739,0.05,0.75,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,"2016_06",85.7142857142857
9247,"burgos","Palacios de Riopisuerga",3.49650756146648,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,7,4,0.212121212121212,0.121212121212121,0.166666666666667,0.111111111111111,0.818181818181818,0.0476190476190476,0,0.875,0.0526315789473684,0,0.826086956521739,0.05,0.75,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,"2015_12",84.2105263157895
9247,"burgos","Palacios de Riopisuerga",3.49650756146648,"castilla y leon",1,0,1,1,1,1,0,0,1,1,1,0,0,7,4,0.212121212121212,0.121212121212121,0.166666666666667,0.111111111111111,0.818181818181818,0.0476190476190476,0,0.875,0.0526315789473684,0,0.826086956521739,0.05,0.75,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,"2011_11",95
9251,"burgos","Pancorbo",6.22455842927536,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,27,14,0.0534653465346535,0.0277227722772277,0.1985559566787,0.144404332129964,0.761643835616438,0.127737226277372,0.00364963503649635,0.738666666666667,0.118081180811808,0,0.735849056603774,0.25,0.700239808153477,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27138671875,"2019_04",25.2707581227437
9251,"burgos","Pancorbo",6.22455842927536,"castilla y leon",0,0,0,0,0,0,0,0,1,1,1,1,1,27,14,0.0534653465346535,0.0277227722772277,0.1985559566787,0.144404332129964,0.761643835616438,0.127737226277372,0.00364963503649635,0.738666666666667,0.118081180811808,0,0.735849056603774,0.25,0.700239808153477,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.27138671875,"2016_06",51.8248175182482
