"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_04","VOX2019_04","part2019_04","PP2016_06","VOX2016_06","part2016_06","PP2015_12","VOX2015_12","part2015_12","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX","election","PSOE_share"
45012,"toledo","Almonacid de Toledo",6.77308037565554,"castilla-la mancha",0,1,1,0,0,0,0,0,2,1,1,1,1,76,51,0.0869565217391304,0.0583524027459954,0.363457760314342,0.133595284872299,0.817749603803486,0.500994035785288,0.00198807157057654,0.771558245083207,0.466403162055336,0.00395256916996047,0.777611940298507,0.535335689045936,0.837481698389458,1,0,0,0,1,0,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,1.31626994017946,"2016_06",18.2902584493042
45012,"toledo","Almonacid de Toledo",6.77308037565554,"castilla-la mancha",0,1,1,0,0,0,0,0,2,1,1,1,1,76,51,0.0869565217391304,0.0583524027459954,0.363457760314342,0.133595284872299,0.817749603803486,0.500994035785288,0.00198807157057654,0.771558245083207,0.466403162055336,0.00395256916996047,0.777611940298507,0.535335689045936,0.837481698389458,1,0,0,0,1,0,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,1.31626994017946,"2015_12",19.5652173913043
45012,"toledo","Almonacid de Toledo",6.77308037565554,"castilla-la mancha",0,1,1,0,0,0,0,0,2,1,1,1,1,76,51,0.0869565217391304,0.0583524027459954,0.363457760314342,0.133595284872299,0.817749603803486,0.500994035785288,0.00198807157057654,0.771558245083207,0.466403162055336,0.00395256916996047,0.777611940298507,0.535335689045936,0.837481698389458,1,0,0,0,1,0,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,1.31626994017946,"2011_11",31.095406360424
45014,"toledo","Anover de Tajo",8.59415423255237,"castilla-la mancha",0,1,1,0,0,0,0,0,5,4,4,4,4,743,498,0.137592592592593,0.0922222222222222,0.149964961457603,0.144358794674142,0.723880597014925,0.312691131498471,0.000382262996941896,0.659850374064838,0.28051391862955,0.000356887937187723,0.708835341365462,0.447798295454545,0.697577685343773,1,1,0,0,1,1,0,0,1.79175946922805,1.6094379124341,1.6094379124341,1.6094379124341,0,1.63679162735489,"2019_04",41.3104414856342
45014,"toledo","Anover de Tajo",8.59415423255237,"castilla-la mancha",0,1,1,0,0,0,0,0,5,4,4,4,4,743,498,0.137592592592593,0.0922222222222222,0.149964961457603,0.144358794674142,0.723880597014925,0.312691131498471,0.000382262996941896,0.659850374064838,0.28051391862955,0.000356887937187723,0.708835341365462,0.447798295454545,0.697577685343773,1,1,0,0,1,1,0,0,1.79175946922805,1.6094379124341,1.6094379124341,1.6094379124341,0,1.63679162735489,"2016_06",36.0474006116208
45014,"toledo","Anover de Tajo",8.59415423255237,"castilla-la mancha",0,1,1,0,0,0,0,0,5,4,4,4,4,743,498,0.137592592592593,0.0922222222222222,0.149964961457603,0.144358794674142,0.723880597014925,0.312691131498471,0.000382262996941896,0.659850374064838,0.28051391862955,0.000356887937187723,0.708835341365462,0.447798295454545,0.697577685343773,1,1,0,0,1,1,0,0,1.79175946922805,1.6094379124341,1.6094379124341,1.6094379124341,0,1.63679162735489,"2015_12",37.2947894361171
45014,"toledo","Anover de Tajo",8.59415423255237,"castilla-la mancha",0,1,1,0,0,0,0,0,5,4,4,4,4,743,498,0.137592592592593,0.0922222222222222,0.149964961457603,0.144358794674142,0.723880597014925,0.312691131498471,0.000382262996941896,0.659850374064838,0.28051391862955,0.000356887937187723,0.708835341365462,0.447798295454545,0.697577685343773,1,1,0,0,1,1,0,0,1.79175946922805,1.6094379124341,1.6094379124341,1.6094379124341,0,1.63679162735489,"2011_11",38.7428977272727
45015,"toledo","Arcicollar",6.69332366826995,"castilla-la mancha",4,0,1,1,1,1,0,0,4,4,4,0,0,79,68,0.0978934324659231,0.0842627013630731,0.178,0.168,0.764350453172205,0.397228637413395,0,0.721122112211221,0.362637362637363,0.0043956043956044,0.741157556270096,0.552083333333333,0.77724358974359,1,0,0,0,1,0,0,0,1.6094379124341,1.6094379124341,0,0,1.6094379124341,1.30463144161774,"2019_04",34.8
45015,"toledo","Arcicollar",6.69332366826995,"castilla-la mancha",4,0,1,1,1,1,0,0,4,4,4,0,0,79,68,0.0978934324659231,0.0842627013630731,0.178,0.168,0.764350453172205,0.397228637413395,0,0.721122112211221,0.362637362637363,0.0043956043956044,0.741157556270096,0.552083333333333,0.77724358974359,1,0,0,0,1,0,0,0,1.6094379124341,1.6094379124341,0,0,1.6094379124341,1.30463144161774,"2016_06",28.175519630485
45015,"toledo","Arcicollar",6.69332366826995,"castilla-la mancha",4,0,1,1,1,1,0,0,4,4,4,0,0,79,68,0.0978934324659231,0.0842627013630731,0.178,0.168,0.764350453172205,0.397228637413395,0,0.721122112211221,0.362637362637363,0.0043956043956044,0.741157556270096,0.552083333333333,0.77724358974359,1,0,0,0,1,0,0,0,1.6094379124341,1.6094379124341,0,0,1.6094379124341,1.30463144161774,"2015_12",29.4505494505495
