"muni_code","prov_name","muni_name","lpop2011","ccaa","fs_rm_2016s2_2018s2","fs_rm_2001s2_2015s2_bin","fs_rm_2001s2_2018s2_bin","fs_rm_2011s1_2018s2_bin","fs_rm_2016s2_2018s2_bin","fs_rm_2016s2_2019s1_bin","fs_rm_2019s1_2019s2_bin","fs_rm_2019s2_bin","fs_2001_06","fs_2010_12","fs_2016_06","fs_2018_12","fs_2019_06","n_unemploy_2016","n_unemploy_2019","unemp_2016","unemp_2019","PP2019_11","PSOE2019_11","VOX2019_11","part2019_11","PP2019_04","PSOE2019_04","VOX2019_04","part2019_04","PP2016_06","PSOE2016_06","VOX2016_06","part2016_06","PSOE2015_12","PP2015_12","VOX2015_12","part2015_12","PSOE2011_11","PP2011_11","part2011_11","major_2015_izq","major_2019_izq","change_to_izq_2019","change_to_izq_19_15","major_2015_izq2","major_2019_izq2","change_to_izq2_2019","change_to_izq2_19_15","l_fs_2001_06","l_fs_2016_06","l_fs_2018_12","l_fs_2019_06","l_fs_rm_2016s2_2018s2","change_2019_VOX"
6122,"badajoz","Santos de Maimona, Los",9.01578427751389,"extremadura",0,0,0,0,0,0,0,0,1,1,1,1,1,1149,873,0.139577259475219,0.106049562682216,0.246228710462287,0.390267639902676,0.147688564476886,0.643305279265494,0.195214905780224,0.39911073470252,0.0846919330933729,0.737122828405974,0.388104605415413,0.36473038648461,0.00115713955102985,0.667319867350015,0.405666593454865,0.340874148912805,NA,0.699744399338445,0.346883468834688,0.527621430060454,0.740785498489426,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.74383272506083
6123,"badajoz","San Vicente de Alcantara",8.66354208775137,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,749,526,0.129405666897028,0.0908776779543884,0.195922598479613,0.447823082239115,0.130960608154803,0.663927143491781,0.159216166564605,0.452847519902021,0.0774647887323944,0.744237588652482,0.322435897435897,0.394230769230769,0.000961538461538462,0.687702615085368,0.417932677986297,0.277033065236819,NA,0.736434108527132,0.428654292343387,0.433584686774942,0.746754628644392,1,1,0,0,1,1,0,0,0,0,0,0,0,1.69058239618018
6124,"badajoz","Segura de Leon",7.63482067774554,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,286,250,0.138231029482842,0.120831319478009,0.241286863270777,0.536193029490617,0.0545129579982127,0.708256880733945,0.202932098765432,0.527006172839506,0.0378086419753086,0.798913043478261,0.369098712446352,0.454935622317597,0.00171673819742489,0.703747072599532,0.481740481740482,0.322455322455322,NA,0.752731454859114,0.513788098693759,0.421625544267054,0.810285714285714,1,1,0,0,1,1,0,0,0,0,0,0,0,1.44181211358538
6125,"badajoz","Siruela",7.65681009148038,"extremadura",1,0,1,1,1,1,0,0,1,1,1,0,0,177,129,0.0836879432624114,0.0609929078014185,0.27823240589198,0.427168576104746,0.183306055646481,0.760948905109489,0.238670694864048,0.431268882175227,0.120090634441088,0.802858844550328,0.397163120567376,0.430260047281324,0.000788022064617809,0.737234652897303,0.450153374233129,0.378067484662577,NA,0.756556442417332,0.441744102930665,0.496783416726233,0.766198704103672,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.52639759544616
6126,"badajoz","Solana de los Barros",7.92153563213355,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,234,185,0.0849056603773585,0.0671262699564586,0.236529041287614,0.469559132260322,0.169349195241428,0.68033946251768,0.21267252195734,0.465495608531995,0.0966122961104141,0.755835667600373,0.34107498341075,0.481751824817518,0.0019907100199071,0.70184331797235,0.517067003792667,0.305941845764855,NA,0.730187814933578,0.533807829181495,0.38196915776987,0.775807185084129,1,1,0,0,1,1,0,0,0,0,0,0,0,1.75287413775868
6127,"badajoz","Talarrubias",8.1961611392829,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,417,302,0.114971050454921,0.0832644058450511,0.31533269045323,0.400192864030858,0.174541947926712,0.74937700249199,0.298051372896368,0.402125775022143,0.116031886625332,0.813456746173015,0.450670498084291,0.378831417624521,0.000478927203065134,0.737687740132728,0.399907321594069,0.415199258572753,NA,0.756308330452817,0.42211496270294,0.505923650724002,0.789185489390828,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50425846724625
6128,"badajoz","Talavera la Real",8.62694405537536,"extremadura",0,0,0,0,0,0,0,0,0,1,1,1,1,519,437,0.0930107526881721,0.07831541218638,0.233469665985003,0.412747102931152,0.167348329925017,0.672201032084362,0.204075425790754,0.427311435523114,0.0988442822384428,0.757644394110985,0.382623509369676,0.351277683134583,0.00136286201022147,0.668990330559928,0.37997432605905,0.346919127086008,NA,0.705736782902137,0.391850490196078,0.49203431372549,0.74115539632781,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0,1.69305018090294
6129,"badajoz","Taliga",6.64639051484773,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,120,86,0.155844155844156,0.111688311688312,0.266826923076923,0.495192307692308,0.0793269230769231,0.759098786828423,0.219512195121951,0.543237250554324,0.024390243902439,0.794066317626527,0.34965034965035,0.456876456876457,0,0.759098786828423,0.476190476190476,0.326839826839827,NA,0.788494077834179,0.46530612244898,0.418367346938776,0.781299524564184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25240384615385
6130,"badajoz","Tamurejo",5.51745289646471,"extremadura",0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0.0602409638554217,0.0401606425702811,0.208053691275168,0.563758389261745,0.100671140939597,0.821621621621622,0.194805194805195,0.577922077922078,0.0779220779220779,0.854838709677419,0.341772151898734,0.487341772151899,0,0.841025641025641,0.535294117647059,0.288235294117647,NA,0.892307692307692,0.472222222222222,0.455555555555556,0.842592592592593,1,1,0,0,1,1,0,0,0,0,0,0,0,1.29194630872483
6131,"badajoz","Torre de Miguel Sesmero",7.14045304310116,"extremadura",0,0,0,0,0,0,0,0,1,1,1,1,1,111,100,0.0879556259904913,0.0792393026941363,0.1,0.57875,0.10875,0.765373699148534,0.0720823798627002,0.588100686498856,0.0835240274599542,0.827845719661336,0.205495818399044,0.523297491039427,0.002389486260454,0.783457249070632,0.544632768361582,0.179661016949153,NA,0.825884543761639,0.609248554913295,0.224277456647399,0.839922854387657,1,1,0,0,1,1,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,1.30202054794521
